employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id,job_title,min_salary,max_salary,department_name,location_id,region_id,region_name,country_id,country_name,location_id,state_province,city,postal_code,street_address,dependent_id,first_name,last_name,relationship,employee_id
206,William,Gietz,william.gietz@sqltutorial.org,515.123.8181,2000-06-07,1,8300.00,205,11,"Public Accountant",4200.00,9000.00,Accounting,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",1,Penelope,Gietz,Child,206
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,515.123.8080,1994-06-07,2,12000.00,101,11,"Accounting Manager",8200.00,16000.00,Accounting,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",2,Nick,Higgins,Child,205
200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,515.123.4444,1987-09-17,3,4400.00,101,1,"Administration Assistant",3000.00,6000.00,Administration,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",3,Ed,Whalen,Child,200
100,Steven,King,steven.king@sqltutorial.org,515.123.4567,1987-06-17,4,24000.00,NULL,9,President,20000.00,40000.00,Executive,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",4,Jennifer,King,Child,100
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,1989-09-21,5,17000.00,100,9,"Administration Vice President",15000.00,30000.00,Executive,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",5,Johnny,Kochhar,Child,101
102,Lex,"De Haan","lex.de haan@sqltutorial.org",515.123.4569,1993-01-13,5,17000.00,100,9,"Administration Vice President",15000.00,30000.00,Executive,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",6,Bette,"De Haan",Child,102
109,Daniel,Faviet,daniel.faviet@sqltutorial.org,515.124.4169,1994-08-16,6,9000.00,108,10,Accountant,4200.00,9000.00,Finance,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",7,Grace,Faviet,Child,109
110,John,Chen,john.chen@sqltutorial.org,515.124.4269,1997-09-28,6,8200.00,108,10,Accountant,4200.00,9000.00,Finance,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",8,Matthew,Chen,Child,110
111,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,515.124.4369,1997-09-30,6,7700.00,108,10,Accountant,4200.00,9000.00,Finance,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",9,Joe,Sciarra,Child,111
112,"Jose Manuel",Urman,"jose manuel.urman@sqltutorial.org",515.124.4469,1998-03-07,6,7800.00,108,10,Accountant,4200.00,9000.00,Finance,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",10,Christian,Urman,Child,112
113,Luis,Popp,luis.popp@sqltutorial.org,515.124.4567,2020-12-07,6,6900.00,108,10,Accountant,4200.00,9000.00,Finance,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",11,Zero,Popp,Child,113
